timestamp,event_type,duration_sec
2026-03-07T08:41:39.412928,closed,2.19
2026-03-07T08:41:48.226954,closed,4.93
2026-03-07T08:41:58.076278,closed,1.53
2026-03-07T08:42:16.884345,closed,6.97
2026-03-07T08:42:27.581760,closed,2.97
2026-03-07T08:42:39.860659,closed,2.19
2026-03-07T08:42:49.234584,yawn,0.00
