timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:26:44.848554,0.350,0.295,0.323,0.187,-21.3,7.0,0.0,0
2026-03-07T08:26:44.919571,0.347,0.305,0.326,0.128,-25.9,7.4,0.0,0
2026-03-07T08:26:45.010065,0.335,0.310,0.322,0.007,-24.9,7.7,0.1,0
2026-03-07T08:26:45.109506,0.388,0.327,0.357,0.002,-32.1,6.8,0.1,0
2026-03-07T08:26:45.201062,0.344,0.306,0.325,0.210,-7.3,2.6,0.1,0
2026-03-07T08:26:45.316292,0.347,0.307,0.327,0.206,-6.4,3.1,0.0,0
2026-03-07T08:26:45.410665,0.340,0.309,0.324,0.197,-4.1,2.9,0.0,0
2026-03-07T08:26:45.504531,0.352,0.303,0.328,0.207,-5.9,2.9,0.0,0
2026-03-07T08:26:45.619299,0.330,0.349,0.339,0.233,-36.0,-3.8,0.0,0
2026-03-07T08:26:45.712709,0.318,0.312,0.315,0.293,-32.4,0.4,0.0,0
2026-03-07T08:26:45.818508,0.351,0.314,0.332,0.200,-23.5,4.9,0.1,0
2026-03-07T08:26:45.905237,0.373,0.353,0.363,0.032,-24.4,7.7,0.1,0
2026-03-07T08:26:46.017081,0.390,0.370,0.380,0.007,-28.4,8.8,0.2,0
2026-03-07T08:26:46.122093,0.368,0.346,0.357,0.007,-20.4,-0.4,0.3,0
2026-03-07T08:26:46.213249,0.357,0.311,0.334,0.036,-16.0,10.7,0.3,0
2026-03-07T08:26:46.321332,0.345,0.305,0.325,0.088,-16.2,9.3,0.2,0
2026-03-07T08:26:46.419326,0.355,0.310,0.333,0.099,-11.7,9.9,0.2,0
2026-03-07T08:26:46.516063,0.369,0.328,0.349,0.129,-8.5,9.5,0.1,0
2026-03-07T08:26:46.631999,0.347,0.322,0.334,0.132,-6.7,9.5,0.1,0
2026-03-07T08:26:46.724008,0.343,0.313,0.328,0.191,-0.3,9.6,0.0,0
2026-03-07T08:26:46.819978,0.326,0.294,0.310,0.376,4.0,9.0,0.0,0
2026-03-07T08:26:46.911349,0.278,0.278,0.278,0.317,-6.9,-3.8,0.0,0
2026-03-07T08:26:47.016674,0.282,0.273,0.277,0.323,-6.9,-4.0,0.0,0
2026-03-07T08:26:47.124340,0.271,0.273,0.272,0.301,-8.2,-3.5,0.0,0
2026-03-07T08:26:47.214627,0.284,0.277,0.281,0.276,-9.1,-2.8,0.0,0
2026-03-07T08:26:47.340303,0.289,0.282,0.285,0.228,-6.9,-2.9,0.0,0
2026-03-07T08:26:47.404093,0.283,0.278,0.281,0.230,-4.7,-2.0,0.0,0
2026-03-07T08:26:47.525298,0.286,0.270,0.278,0.369,-3.3,-1.5,0.0,0
2026-03-07T08:26:47.634245,0.291,0.284,0.288,0.427,-2.4,-1.0,0.0,0
2026-03-07T08:26:47.714208,0.272,0.277,0.275,0.419,-1.2,-1.0,0.0,0
2026-03-07T08:26:47.797079,0.274,0.266,0.270,0.382,-1.1,-1.0,0.0,0
2026-03-07T08:26:47.921940,0.279,0.268,0.273,0.308,0.7,5.4,0.0,0
2026-03-07T08:26:48.038717,0.302,0.277,0.290,0.206,-7.5,8.1,0.0,0
2026-03-07T08:26:48.100564,0.311,0.281,0.296,0.004,-10.7,8.7,0.0,0
2026-03-07T08:26:48.196059,0.293,0.266,0.280,0.010,-9.2,9.1,0.0,0
2026-03-07T08:26:48.343655,0.275,0.264,0.270,0.304,-0.1,7.2,0.0,0
2026-03-07T08:26:48.406807,0.272,0.276,0.274,0.285,0.2,4.1,0.0,0
2026-03-07T08:26:48.506162,0.282,0.290,0.286,0.257,-8.8,2.7,0.0,0
