timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:41:37.695920,0.363,0.336,0.349,0.521,-5.7,9.9,0.0,0
2026-03-07T08:41:37.877616,0.344,0.321,0.332,0.083,-15.4,4.3,0.0,0
2026-03-07T08:41:37.981055,0.327,0.304,0.316,0.016,-16.2,4.3,0.0,0
2026-03-07T08:41:38.065779,0.319,0.289,0.304,0.030,-16.1,5.2,0.0,0
2026-03-07T08:41:38.182819,0.369,0.317,0.343,0.205,-8.8,7.5,0.0,0
2026-03-07T08:41:38.276191,0.371,0.323,0.347,0.249,-6.8,6.9,0.0,0
2026-03-07T08:41:38.370998,0.339,0.308,0.323,0.204,-6.4,5.1,0.0,0
2026-03-07T08:41:38.778499,0.060,0.067,0.063,0.007,-9.6,3.3,0.1,0
2026-03-07T08:41:38.876880,0.098,0.083,0.090,0.003,-10.4,3.4,0.3,0
2026-03-07T08:41:38.975523,0.080,0.102,0.091,0.009,-8.9,4.4,0.5,0
2026-03-07T08:41:39.073796,0.103,0.098,0.101,0.006,-8.4,4.3,0.7,0
2026-03-07T08:41:39.228230,0.073,0.067,0.070,0.000,-9.3,4.2,0.9,0
2026-03-07T08:41:39.388146,0.063,0.053,0.058,0.004,-10.0,3.6,1.0,0
2026-03-07T08:41:39.498944,0.070,0.091,0.080,0.005,-8.4,4.3,1.2,0
2026-03-07T08:41:39.579616,0.076,0.066,0.071,0.003,-8.7,4.4,1.4,0
2026-03-07T08:41:39.681400,0.048,0.039,0.044,0.003,-11.6,5.0,1.6,0
2026-03-07T08:41:39.777395,0.079,0.110,0.094,0.011,-9.2,3.1,1.8,0
2026-03-07T08:41:39.884459,0.074,0.077,0.076,0.003,-14.2,5.4,2.0,0
2026-03-07T08:41:39.982812,0.060,0.047,0.054,0.006,-12.1,5.6,2.2,0
2026-03-07T08:41:40.082344,0.048,0.047,0.047,0.005,-15.0,5.4,2.4,0
2026-03-07T08:41:40.189857,0.090,0.094,0.092,0.004,-13.5,4.8,2.6,0
2026-03-07T08:41:40.254064,0.066,0.074,0.070,0.002,-13.6,4.6,2.8,0
2026-03-07T08:41:40.382816,0.088,0.086,0.087,0.003,-12.1,4.4,3.0,0
2026-03-07T08:41:40.503231,0.056,0.062,0.059,0.003,-11.6,4.5,3.2,0
2026-03-07T08:41:40.568816,0.059,0.061,0.060,0.004,-11.0,4.4,3.4,0
2026-03-07T08:41:40.654419,0.069,0.061,0.065,0.005,-12.7,4.4,3.6,0
2026-03-07T08:41:40.782558,0.055,0.082,0.069,0.004,-12.9,3.6,3.8,0
2026-03-07T08:41:40.890045,0.050,0.067,0.058,0.008,-11.3,3.5,4.0,1
2026-03-07T08:41:40.954364,0.063,0.069,0.066,0.004,-12.7,3.1,4.2,1
2026-03-07T08:41:41.063336,0.063,0.081,0.072,0.002,-11.8,3.1,4.4,1
