timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:55:18.147446,0.345,0.291,0.318,0.180,-13.0,14.4,0.0,0
2026-03-07T08:55:18.231150,0.331,0.288,0.310,0.004,-20.9,8.8,0.0,0
2026-03-07T08:55:18.331849,0.321,0.285,0.303,0.001,-22.1,6.4,0.0,0
2026-03-07T08:55:18.438701,0.319,0.283,0.301,0.001,-22.1,6.3,0.0,0
2026-03-07T08:55:18.522846,0.306,0.260,0.283,0.005,-19.9,8.3,0.1,0
2026-03-07T08:55:18.631843,0.297,0.232,0.264,0.352,-12.6,14.6,0.0,0
2026-03-07T08:55:18.732994,0.290,0.248,0.269,0.352,-12.4,16.5,0.0,0
2026-03-07T08:55:18.824128,0.294,0.243,0.268,0.001,-20.3,12.1,0.0,0
2026-03-07T08:55:18.950138,0.292,0.242,0.267,0.002,-20.2,9.7,0.0,0
2026-03-07T08:55:19.035593,0.277,0.220,0.249,0.005,-20.9,9.2,0.0,0
2026-03-07T08:55:19.137059,0.297,0.251,0.274,0.005,-21.7,11.1,0.0,0
2026-03-07T08:55:19.254191,0.308,0.254,0.281,0.209,-16.7,14.2,0.0,0
2026-03-07T08:55:19.347022,0.297,0.261,0.279,0.411,-14.7,16.6,0.0,0
2026-03-07T08:55:19.435218,0.299,0.262,0.280,0.392,-13.7,14.4,0.0,0
2026-03-07T08:55:19.526622,0.271,0.231,0.251,0.187,-16.8,12.5,0.0,0
2026-03-07T08:55:19.636223,0.327,0.287,0.307,0.006,-22.3,11.6,0.0,0
2026-03-07T08:55:19.736671,0.342,0.296,0.319,0.002,-21.8,9.4,0.0,0
2026-03-07T08:55:19.837266,0.324,0.289,0.307,0.000,-23.3,8.7,0.0,0
2026-03-07T08:55:19.948328,0.317,0.279,0.298,0.004,-23.5,8.2,0.0,0
2026-03-07T08:55:20.040816,0.319,0.280,0.299,0.002,-22.4,9.5,0.0,0
2026-03-07T08:55:20.131200,0.327,0.289,0.308,0.044,-20.6,11.0,0.0,0
2026-03-07T08:55:20.256932,0.333,0.290,0.311,0.129,-18.5,12.4,0.0,0
2026-03-07T08:55:20.324375,0.347,0.296,0.321,0.122,-17.4,12.1,0.0,0
2026-03-07T08:55:20.445197,0.348,0.300,0.324,0.124,-20.1,10.8,0.0,0
2026-03-07T08:55:20.538559,0.336,0.298,0.317,0.060,-22.4,9.4,0.0,0
2026-03-07T08:55:20.647800,0.334,0.301,0.318,0.002,-23.6,8.4,0.0,0
2026-03-07T08:55:20.718024,0.329,0.300,0.314,0.005,-23.2,8.1,0.0,0
2026-03-07T08:55:20.854049,0.331,0.294,0.312,0.003,-20.7,9.8,0.0,0
2026-03-07T08:55:20.952830,0.354,0.308,0.331,0.132,-19.0,10.7,0.0,0
2026-03-07T08:55:21.019629,0.364,0.320,0.342,0.173,-17.8,10.3,0.0,0
2026-03-07T08:55:21.115783,0.373,0.319,0.346,0.076,-18.1,10.2,0.0,0
2026-03-07T08:55:21.264448,0.363,0.313,0.338,0.009,-22.9,8.0,0.0,0
2026-03-07T08:55:21.332656,0.308,0.276,0.292,0.003,-22.8,5.6,0.0,0
2026-03-07T08:55:21.422398,0.283,0.249,0.266,0.007,-23.2,5.2,0.0,0
2026-03-07T08:55:21.512520,0.322,0.298,0.310,0.004,-24.2,4.4,0.0,0
2026-03-07T08:55:21.660920,0.321,0.297,0.309,0.001,-21.3,5.4,0.0,0
