timestamp,event_type,duration_sec
2026-03-07T09:18:37.739829,closed,1.78
2026-03-07T09:18:40.702636,closed,5.29
2026-03-07T09:19:05.893615,closed,11.96
2026-03-07T09:19:20.472721,closed,2.02
2026-03-07T09:19:34.149312,yawn,0.00
