timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:59:42.551107,0.322,0.281,0.301,0.198,-9.4,3.2,0.0,0
2026-03-07T08:59:42.622113,0.315,0.281,0.298,0.239,-8.4,4.0,0.0,0
2026-03-07T08:59:42.721814,0.325,0.291,0.308,0.107,-6.7,2.3,0.0,0
2026-03-07T08:59:42.816590,0.325,0.301,0.313,0.012,-10.6,1.3,0.0,0
2026-03-07T08:59:42.907302,0.328,0.305,0.316,0.004,-12.8,2.1,0.0,0
2026-03-07T08:59:43.020571,0.343,0.310,0.326,0.008,-13.8,2.8,0.0,0
2026-03-07T08:59:43.117040,0.335,0.304,0.319,0.009,-12.2,3.5,0.0,0
2026-03-07T08:59:43.213920,0.352,0.312,0.332,0.007,-8.4,3.9,0.0,0
2026-03-07T08:59:43.329810,0.336,0.306,0.321,0.008,-9.2,4.1,0.0,0
2026-03-07T08:59:43.423877,0.343,0.309,0.326,0.007,-8.2,3.1,0.0,0
2026-03-07T08:59:43.528427,0.352,0.323,0.337,0.004,-11.1,4.1,0.0,0
2026-03-07T08:59:43.634597,0.101,0.127,0.114,0.006,-8.5,1.4,0.0,0
2026-03-07T08:59:43.722930,0.044,0.078,0.061,0.003,-11.3,2.2,0.2,0
2026-03-07T08:59:43.816742,0.055,0.085,0.070,0.008,-9.3,1.7,0.4,0
2026-03-07T08:59:43.914708,0.066,0.081,0.073,0.002,-8.4,0.9,0.6,0
2026-03-07T08:59:44.027129,0.055,0.079,0.067,0.007,-6.7,0.6,0.8,0
2026-03-07T08:59:44.119597,0.071,0.087,0.079,0.004,-9.3,0.9,1.0,0
2026-03-07T08:59:44.226197,0.065,0.085,0.075,0.003,-9.5,0.2,1.2,0
2026-03-07T08:59:44.329183,0.070,0.101,0.085,0.004,-9.5,0.7,1.4,0
2026-03-07T08:59:44.433810,0.055,0.084,0.069,0.009,-7.8,1.0,1.6,0
2026-03-07T08:59:44.517575,0.050,0.098,0.074,0.004,-10.4,0.8,1.8,0
2026-03-07T08:59:44.642221,0.073,0.121,0.097,0.005,-8.9,1.2,2.0,0
2026-03-07T08:59:44.702346,0.063,0.115,0.089,0.004,-10.4,1.2,2.1,0
2026-03-07T08:59:44.827535,0.099,0.131,0.115,0.007,-8.8,0.8,2.4,0
2026-03-07T08:59:44.929377,0.077,0.117,0.097,0.005,-9.1,1.1,2.6,0
2026-03-07T08:59:45.022482,0.037,0.084,0.060,0.005,-8.5,0.9,2.8,0
2026-03-07T08:59:45.096070,0.017,0.075,0.046,0.003,-7.9,1.1,2.9,0
2026-03-07T08:59:45.225657,0.068,0.119,0.093,0.005,-9.0,0.6,3.2,1
2026-03-07T08:59:45.342522,0.095,0.148,0.122,0.003,-10.7,0.4,3.4,1
2026-03-07T08:59:45.415842,0.058,0.100,0.079,0.001,-10.3,0.8,3.6,1
2026-03-07T08:59:45.497327,0.060,0.109,0.085,0.005,-8.9,0.0,3.7,1
2026-03-07T08:59:45.656751,0.060,0.110,0.085,0.002,-9.4,-1.3,4.0,1
2026-03-07T08:59:45.733474,0.048,0.074,0.061,0.002,-9.1,0.3,4.2,1
2026-03-07T08:59:45.804654,0.049,0.102,0.076,0.002,-7.3,1.1,4.4,1
2026-03-07T08:59:45.897468,0.056,0.096,0.076,0.003,-10.3,0.6,4.5,1
2026-03-07T08:59:46.051293,0.046,0.103,0.075,0.002,-8.4,0.3,4.8,1
2026-03-07T08:59:46.122241,0.048,0.085,0.066,0.001,-8.2,0.6,5.0,1
2026-03-07T08:59:46.200437,0.064,0.097,0.081,0.001,-9.0,0.5,5.1,1
2026-03-07T08:59:46.321152,0.036,0.083,0.060,0.003,-7.5,1.2,5.4,1
2026-03-07T08:59:46.406305,0.060,0.082,0.071,0.002,-6.4,0.3,5.6,1
2026-03-07T08:59:46.503687,0.070,0.090,0.080,0.006,-3.6,1.2,5.7,1
2026-03-07T08:59:46.616078,0.057,0.126,0.092,0.007,-6.0,0.7,6.0,1
2026-03-07T08:59:46.712416,0.061,0.102,0.081,0.002,-4.4,0.7,6.2,2
2026-03-07T08:59:46.814957,0.080,0.143,0.112,0.017,-6.7,-0.6,6.4,2
2026-03-07T08:59:46.911177,0.062,0.106,0.084,0.025,-7.1,0.0,6.6,2
2026-03-07T08:59:47.016357,0.088,0.120,0.104,0.008,-8.2,-0.6,6.8,2
2026-03-07T08:59:47.118745,0.083,0.133,0.108,0.004,-9.2,0.3,7.0,2
2026-03-07T08:59:47.214682,0.076,0.116,0.096,0.006,-9.7,0.9,7.2,2
2026-03-07T08:59:47.333029,0.047,0.113,0.080,0.003,-11.3,1.0,7.4,2
2026-03-07T08:59:47.421308,0.079,0.110,0.095,0.003,-11.3,0.9,7.6,2
2026-03-07T08:59:47.510715,0.053,0.085,0.069,0.002,-9.4,1.7,7.8,2
2026-03-07T08:59:47.614368,0.056,0.092,0.074,0.003,-9.0,1.9,8.0,2
2026-03-07T08:59:47.719671,0.077,0.091,0.084,0.008,-12.2,2.6,8.2,2
2026-03-07T08:59:47.814804,0.084,0.104,0.094,0.006,-13.2,2.5,8.4,2
2026-03-07T08:59:47.913280,0.058,0.118,0.088,0.007,-12.2,2.0,8.6,2
2026-03-07T08:59:48.026889,0.080,0.148,0.114,0.000,-11.5,1.7,8.8,2
2026-03-07T08:59:48.123001,0.053,0.118,0.086,0.004,-11.9,1.5,9.0,2
2026-03-07T08:59:48.217324,0.068,0.107,0.087,0.002,-10.6,1.6,9.2,2
2026-03-07T08:59:48.336447,0.065,0.126,0.095,0.006,-10.7,1.1,9.4,2
2026-03-07T08:59:48.440585,0.049,0.098,0.073,0.003,-10.7,1.6,9.6,2
2026-03-07T08:59:48.521892,0.090,0.117,0.104,0.005,-9.5,3.3,9.8,2
2026-03-07T08:59:48.619175,0.084,0.128,0.106,0.003,-8.2,2.6,10.0,2
2026-03-07T08:59:48.717992,0.059,0.117,0.088,0.001,-8.4,1.9,10.2,2
2026-03-07T08:59:48.831741,0.052,0.129,0.090,0.005,-8.8,0.5,10.4,2
2026-03-07T08:59:48.920546,0.096,0.154,0.125,0.006,-8.8,1.1,10.6,2
2026-03-07T08:59:49.043215,0.056,0.125,0.090,0.002,-9.1,0.7,10.8,2
2026-03-07T08:59:49.115831,0.051,0.128,0.089,0.007,-9.5,0.7,11.0,2
2026-03-07T08:59:49.227191,0.050,0.123,0.087,0.005,-11.3,0.9,11.2,2
2026-03-07T08:59:49.345361,0.075,0.128,0.101,0.001,-10.5,1.3,11.4,2
2026-03-07T08:59:49.421473,0.063,0.144,0.104,0.001,-11.6,0.7,11.6,2
2026-03-07T08:59:49.498552,0.051,0.119,0.085,0.003,-10.7,0.7,11.7,2
2026-03-07T08:59:49.638099,0.038,0.091,0.065,0.006,-12.8,1.3,12.0,2
2026-03-07T08:59:49.728359,0.043,0.090,0.067,0.006,-12.5,1.1,12.2,2
2026-03-07T08:59:49.799073,0.050,0.098,0.074,0.003,-12.4,1.1,12.3,2
2026-03-07T08:59:49.905431,0.046,0.102,0.074,0.002,-13.5,1.3,12.5,2
2026-03-07T08:59:50.057433,0.056,0.102,0.079,0.004,-13.7,1.0,12.9,2
2026-03-07T08:59:50.133715,0.072,0.132,0.102,0.004,-13.9,1.2,13.0,2
2026-03-07T08:59:50.204086,0.130,0.197,0.163,0.005,-15.7,1.2,13.2,2
2026-03-07T08:59:50.298712,0.284,0.265,0.275,0.002,-15.6,1.7,13.2,0
2026-03-07T08:59:50.411797,0.297,0.267,0.282,0.003,-15.9,1.7,13.1,0
