timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:31:11.378111,0.324,0.295,0.310,0.006,-21.8,7.6,0.0,0
2026-03-07T08:31:11.510800,0.340,0.302,0.321,0.005,-20.9,7.9,0.0,0
2026-03-07T08:31:11.626407,0.341,0.300,0.320,0.007,-21.5,8.3,0.1,0
2026-03-07T08:31:11.753647,0.339,0.307,0.323,0.136,-18.8,8.7,0.1,0
2026-03-07T08:31:11.873427,0.332,0.297,0.314,0.364,-14.0,10.4,0.1,0
2026-03-07T08:31:11.986415,0.350,0.315,0.333,0.006,-22.6,8.0,0.0,0
2026-03-07T08:31:12.111825,0.358,0.329,0.343,0.005,-24.3,6.1,0.0,0
2026-03-07T08:31:12.224634,0.353,0.319,0.336,0.006,-24.2,6.4,0.0,0
2026-03-07T08:31:12.351921,0.341,0.292,0.317,0.005,-24.2,6.3,0.1,0
2026-03-07T08:31:12.465519,0.291,0.256,0.274,0.004,-25.0,6.7,0.2,0
2026-03-07T08:31:12.584024,0.103,0.074,0.089,0.001,-23.3,6.5,0.3,0
2026-03-07T08:31:12.707222,0.062,0.055,0.058,0.005,-24.9,6.2,0.7,0
2026-03-07T08:31:12.826996,0.060,0.057,0.059,0.007,-21.9,6.4,1.0,0
2026-03-07T08:31:12.943231,0.068,0.064,0.066,0.008,-20.1,5.6,1.3,0
2026-03-07T08:31:13.059335,0.084,0.080,0.082,0.009,-19.5,5.9,1.5,0
2026-03-07T08:31:13.184278,0.085,0.079,0.082,0.010,-19.5,6.6,1.7,0
2026-03-07T08:31:13.303755,0.070,0.081,0.076,0.012,-18.7,6.4,2.0,0
2026-03-07T08:31:13.417622,0.075,0.073,0.074,0.012,-19.0,6.6,2.2,0
2026-03-07T08:31:13.545497,0.072,0.081,0.076,0.012,-19.3,6.7,2.5,0
2026-03-07T08:31:13.654400,0.057,0.072,0.064,0.011,-20.1,6.7,2.7,0
2026-03-07T08:31:13.775823,0.052,0.058,0.055,0.011,-20.1,6.4,2.9,0
2026-03-07T08:31:13.895628,0.056,0.066,0.061,0.011,-20.3,6.5,3.2,0
2026-03-07T08:31:14.012441,0.063,0.065,0.064,0.008,-20.3,6.5,3.5,0
2026-03-07T08:31:14.130541,0.064,0.074,0.069,0.006,-20.7,7.0,3.9,1
2026-03-07T08:31:14.253413,0.095,0.092,0.094,0.008,-20.7,6.7,4.2,1
2026-03-07T08:31:14.379075,0.096,0.086,0.091,0.006,-21.2,6.2,4.5,1
2026-03-07T08:31:14.496351,0.104,0.096,0.100,0.006,-21.7,6.5,4.8,1
2026-03-07T08:31:14.608516,0.092,0.091,0.091,0.005,-21.2,6.3,5.1,1
2026-03-07T08:31:14.724297,0.097,0.096,0.097,0.005,-20.7,6.8,5.4,1
2026-03-07T08:31:14.856807,0.072,0.068,0.070,0.007,-22.0,6.6,5.7,1
2026-03-07T08:31:14.970303,0.166,0.204,0.185,0.003,-22.5,6.0,6.0,1
2026-03-07T08:31:15.084982,0.109,0.126,0.118,0.005,-22.1,6.9,6.1,0
2026-03-07T08:31:15.203735,0.162,0.170,0.166,0.004,-23.8,7.0,6.4,0
2026-03-07T08:31:15.330974,0.287,0.263,0.275,0.004,-22.6,8.0,6.5,0
2026-03-07T08:31:15.444281,0.305,0.278,0.292,0.002,-22.9,8.3,6.5,0
2026-03-07T08:31:15.572867,0.312,0.283,0.298,0.002,-22.7,8.5,6.6,0
2026-03-07T08:31:15.687248,0.327,0.296,0.312,0.001,-21.5,9.0,6.7,0
2026-03-07T08:31:15.806440,0.332,0.305,0.318,0.001,-20.9,9.5,6.8,0
2026-03-07T08:31:15.931093,0.339,0.307,0.323,0.043,-20.3,10.1,6.8,0
2026-03-07T08:31:16.045484,0.337,0.291,0.314,0.227,-16.0,12.0,6.8,0
2026-03-07T08:31:16.167480,0.333,0.285,0.309,0.293,-15.2,15.3,6.7,0
2026-03-07T08:31:16.290529,0.334,0.284,0.309,0.259,-16.9,16.3,6.7,0
2026-03-07T08:31:16.404152,0.337,0.274,0.306,0.143,-19.6,15.2,6.6,0
2026-03-07T08:31:16.527423,0.323,0.272,0.298,0.035,-20.4,12.4,6.5,0
2026-03-07T08:31:16.652787,0.124,0.053,0.089,0.005,-16.3,13.8,6.5,0
2026-03-07T08:31:16.768574,0.249,0.183,0.216,0.020,-9.6,26.4,6.6,0
2026-03-07T08:31:16.887129,0.471,0.323,0.397,0.014,-8.5,39.2,6.6,0
2026-03-07T08:31:16.999666,0.571,0.338,0.454,0.212,-8.0,46.4,6.5,0
2026-03-07T08:31:17.127378,0.591,0.345,0.468,0.411,-7.5,49.3,6.4,0
2026-03-07T08:31:17.247888,0.606,0.336,0.471,0.338,-3.2,50.2,6.4,0
2026-03-07T08:31:17.360691,0.634,0.341,0.488,0.113,-3.3,48.7,6.3,0
2026-03-07T08:31:17.487194,0.652,0.354,0.503,0.104,-2.5,51.4,6.3,0
2026-03-07T08:31:17.602991,0.619,0.360,0.489,0.016,-1.0,49.9,6.2,0
2026-03-07T08:31:17.725052,0.641,0.348,0.494,0.021,-0.3,51.0,6.1,0
2026-03-07T08:31:17.843786,0.652,0.356,0.504,0.496,-3.5,53.5,6.1,0
2026-03-07T08:31:17.962257,0.505,0.219,0.362,0.203,-1.3,57.1,6.0,0
2026-03-07T08:31:18.085932,0.578,0.319,0.448,0.024,10.9,61.5,6.0,0
2026-03-07T08:31:18.995543,1.655,0.536,1.095,0.731,10.3,76.2,5.9,0
