timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:54:18.795548,0.354,0.305,0.329,0.003,-22.7,8.7,0.0,0
2026-03-07T08:54:18.906770,0.326,0.314,0.320,0.008,-24.5,6.4,0.0,0
2026-03-07T08:54:19.040894,0.308,0.298,0.303,0.002,-19.2,7.0,0.1,0
2026-03-07T08:54:19.134965,0.323,0.302,0.313,0.002,-19.5,4.5,0.0,0
2026-03-07T08:54:19.267490,0.357,0.323,0.340,0.004,-17.0,3.5,0.0,0
2026-03-07T08:54:19.340370,0.342,0.313,0.327,0.003,-16.7,3.9,0.0,0
2026-03-07T08:54:19.434620,0.354,0.317,0.335,0.003,-17.3,3.8,0.0,0
2026-03-07T08:54:19.533200,0.356,0.335,0.345,0.004,-15.8,4.2,0.0,0
2026-03-07T08:54:19.664111,0.364,0.339,0.352,0.004,-12.9,4.4,0.0,0
2026-03-07T08:54:19.735848,0.358,0.334,0.346,0.004,-13.3,4.9,0.0,0
2026-03-07T08:54:19.837410,0.098,0.074,0.086,0.002,-9.1,4.8,0.1,0
2026-03-07T08:54:19.956105,0.034,0.065,0.050,0.005,-8.2,3.4,0.3,0
2026-03-07T08:54:20.052688,0.039,0.063,0.051,0.009,-11.3,1.3,0.5,0
2026-03-07T08:54:20.138984,0.038,0.077,0.058,0.006,-9.5,2.7,0.7,0
2026-03-07T08:54:20.259400,0.056,0.071,0.064,0.010,-11.9,3.1,0.9,0
2026-03-07T08:54:20.352614,0.067,0.072,0.069,0.009,-11.3,1.7,1.1,0
2026-03-07T08:54:20.444433,0.064,0.086,0.075,0.006,-12.1,2.4,1.3,0
2026-03-07T08:54:20.547648,0.058,0.071,0.064,0.010,-12.4,2.1,1.5,0
2026-03-07T08:54:20.644823,0.098,0.100,0.099,0.007,-13.3,3.7,1.7,0
2026-03-07T08:54:20.749745,0.078,0.060,0.069,0.006,-13.6,3.4,1.9,0
2026-03-07T08:54:20.846158,0.073,0.071,0.072,0.007,-14.4,4.0,2.1,0
2026-03-07T08:54:20.953853,0.069,0.079,0.074,0.005,-14.0,3.9,2.3,0
2026-03-07T08:54:21.033777,0.072,0.075,0.073,0.007,-14.6,4.4,2.4,0
2026-03-07T08:54:21.144372,0.080,0.095,0.087,0.007,-13.6,4.2,2.7,0
2026-03-07T08:54:21.278878,0.086,0.088,0.087,0.007,-13.7,4.6,2.9,0
2026-03-07T08:54:21.349685,0.127,0.138,0.133,0.005,-15.1,4.3,3.1,1
2026-03-07T08:54:21.414186,0.093,0.099,0.096,0.012,-12.9,5.4,3.2,1
2026-03-07T08:54:21.547815,0.097,0.108,0.103,0.015,-15.1,4.2,3.5,1
2026-03-07T08:54:21.640829,0.082,0.075,0.079,0.004,-16.1,4.1,3.7,1
2026-03-07T08:54:21.726366,0.064,0.068,0.066,0.010,-15.2,5.0,3.8,1
2026-03-07T08:54:21.819248,0.104,0.096,0.100,0.009,-19.1,4.3,4.0,1
2026-03-07T08:54:21.970068,0.087,0.094,0.091,0.011,-16.0,4.5,4.3,1
2026-03-07T08:54:22.035177,0.083,0.118,0.100,0.011,-14.2,2.6,4.5,1
2026-03-07T08:54:22.123322,0.060,0.086,0.073,0.005,-14.9,3.6,4.6,1
2026-03-07T08:54:22.216511,0.075,0.072,0.073,0.010,-16.5,4.6,4.8,1
2026-03-07T08:54:22.361295,0.078,0.078,0.078,0.011,-16.2,4.5,5.1,1
2026-03-07T08:54:22.431589,0.073,0.078,0.076,0.013,-16.0,2.7,5.2,1
2026-03-07T08:54:22.519794,0.090,0.094,0.092,0.004,-13.6,3.5,5.4,1
2026-03-07T08:54:22.641616,0.102,0.121,0.111,0.004,-12.7,2.8,5.7,1
2026-03-07T08:54:22.734256,0.095,0.126,0.110,0.001,-11.5,4.2,5.8,1
2026-03-07T08:54:22.826387,0.107,0.105,0.106,0.007,-15.2,4.0,6.0,2
2026-03-07T08:54:22.942254,0.097,0.104,0.100,0.005,-13.2,3.2,6.3,2
2026-03-07T08:54:23.065466,0.105,0.121,0.113,0.007,-14.5,3.8,6.4,0
2026-03-07T08:54:23.159043,0.084,0.078,0.081,0.010,-14.0,5.8,6.6,0
2026-03-07T08:54:23.283094,0.095,0.081,0.088,0.006,-15.7,6.7,6.8,0
2026-03-07T08:54:23.379456,0.114,0.113,0.113,0.007,-14.8,6.2,7.0,0
2026-03-07T08:54:23.466446,0.115,0.105,0.110,0.001,-15.0,6.3,7.2,0
