timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:19:21.231992,0.367,0.338,0.353,0.008,-28.2,2.8,0.0,0
2026-03-07T08:19:21.370389,0.352,0.324,0.338,0.010,-30.7,3.1,0.0,0
2026-03-07T08:19:21.500406,0.346,0.317,0.332,0.011,-30.5,3.1,0.1,0
2026-03-07T08:19:21.622238,0.348,0.323,0.336,0.007,-29.9,3.8,0.2,0
2026-03-07T08:19:21.746496,0.344,0.320,0.332,0.005,-28.2,3.4,0.2,0
2026-03-07T08:19:21.877247,0.365,0.344,0.355,0.207,-21.6,5.9,0.3,0
2026-03-07T08:19:21.993887,0.393,0.367,0.380,0.144,-20.8,6.4,0.4,0
2026-03-07T08:19:22.117784,0.383,0.346,0.364,0.003,-24.4,5.9,0.5,0
2026-03-07T08:19:22.235980,0.375,0.341,0.358,0.005,-21.5,5.4,0.5,0
2026-03-07T08:19:22.358111,0.373,0.340,0.357,0.008,-18.5,6.3,0.6,0
2026-03-07T08:19:22.474837,0.349,0.321,0.335,0.004,-12.6,6.6,0.5,0
2026-03-07T08:19:22.600476,0.340,0.314,0.327,0.003,-5.3,5.9,0.4,0
2026-03-07T08:19:22.716056,0.328,0.306,0.317,0.005,0.6,6.5,0.4,0
2026-03-07T08:19:22.837068,0.316,0.295,0.306,0.257,3.8,6.7,0.3,0
2026-03-07T08:19:22.958505,0.298,0.282,0.290,0.407,5.3,7.4,0.3,0
2026-03-07T08:19:23.078651,0.301,0.280,0.291,0.155,4.1,6.4,0.2,0
2026-03-07T08:19:23.193916,0.320,0.289,0.304,0.113,2.6,7.5,0.1,0
2026-03-07T08:19:23.322330,0.308,0.280,0.294,0.004,3.0,7.8,0.1,0
2026-03-07T08:19:23.434995,0.314,0.286,0.300,0.004,1.8,9.0,0.0,0
2026-03-07T08:19:23.558444,0.319,0.292,0.305,0.004,2.1,9.3,0.0,0
2026-03-07T08:19:23.676246,0.310,0.284,0.297,0.004,0.2,8.8,0.0,0
2026-03-07T08:19:23.795022,0.061,0.041,0.051,0.003,7.9,9.2,0.1,0
2026-03-07T08:19:23.914539,0.052,0.047,0.049,0.001,4.9,8.4,0.3,0
2026-03-07T08:19:24.039152,0.102,0.096,0.099,0.001,3.1,9.1,0.6,0
2026-03-07T08:19:24.170034,0.251,0.230,0.241,0.002,-0.2,9.0,0.6,0
2026-03-07T08:19:24.278052,0.223,0.153,0.188,0.004,1.1,8.0,0.5,0
2026-03-07T08:19:24.392579,0.038,0.035,0.036,0.001,6.3,6.3,0.8,0
2026-03-07T08:19:24.509340,0.123,0.119,0.121,0.004,1.9,6.9,1.0,0
2026-03-07T08:19:24.633539,0.262,0.241,0.251,0.003,-5.3,6.3,0.9,0
2026-03-07T08:19:24.755872,0.287,0.257,0.272,0.000,-6.2,6.7,0.9,0
2026-03-07T08:19:24.871570,0.293,0.262,0.278,0.002,-7.0,6.7,0.8,0
2026-03-07T08:19:24.986749,0.295,0.267,0.281,0.002,-8.3,6.4,0.8,0
2026-03-07T08:19:25.113269,0.276,0.249,0.263,0.003,-7.9,6.2,0.7,0
2026-03-07T08:19:25.228479,0.292,0.261,0.277,0.003,-7.7,6.5,0.6,0
2026-03-07T08:19:25.342623,0.289,0.259,0.274,0.002,-8.5,6.7,0.6,0
2026-03-07T08:19:25.473051,0.292,0.267,0.280,0.003,-6.6,7.7,0.5,0
2026-03-07T08:19:25.583573,0.288,0.265,0.276,0.229,-2.0,8.9,0.5,0
2026-03-07T08:19:25.704955,0.289,0.264,0.277,0.283,-1.9,8.7,0.4,0
2026-03-07T08:19:25.825285,0.292,0.264,0.278,0.266,-2.3,9.2,0.3,0
2026-03-07T08:19:25.946672,0.299,0.261,0.280,0.148,-3.9,8.3,0.3,0
2026-03-07T08:19:26.063949,0.282,0.252,0.267,0.005,-8.3,7.4,0.2,0
2026-03-07T08:19:26.184910,0.272,0.249,0.260,0.004,-9.4,7.0,0.2,0
2026-03-07T08:19:26.301050,0.271,0.242,0.257,0.003,-8.7,7.1,0.1,0
2026-03-07T08:19:26.430591,0.278,0.249,0.264,0.133,-5.5,7.8,0.0,0
2026-03-07T08:19:26.542257,0.287,0.259,0.273,0.315,-3.8,8.8,0.0,0
2026-03-07T08:19:26.668030,0.324,0.290,0.307,0.277,-4.6,9.8,0.0,0
2026-03-07T08:19:26.779524,0.325,0.290,0.308,0.119,-7.8,8.6,0.0,0
2026-03-07T08:19:26.904756,0.304,0.277,0.290,0.017,-10.4,8.0,0.0,0
2026-03-07T08:19:27.025172,0.317,0.287,0.302,0.003,-8.0,8.6,0.0,0
2026-03-07T08:19:27.146738,0.329,0.287,0.308,0.002,-8.6,9.1,0.0,0
2026-03-07T08:19:27.260802,0.340,0.297,0.319,0.005,-6.5,11.5,0.0,0
2026-03-07T08:19:27.417501,0.328,0.286,0.307,0.253,-4.4,13.4,0.0,0
2026-03-07T08:19:27.533499,0.334,0.292,0.313,0.269,-4.8,15.5,0.0,0
2026-03-07T08:19:27.654124,0.341,0.296,0.318,0.144,-7.0,16.5,0.0,0
2026-03-07T08:19:27.814297,0.351,0.296,0.323,0.119,-3.8,18.1,0.0,0
2026-03-07T08:19:27.925371,0.350,0.288,0.319,0.004,-6.9,18.5,0.0,0
2026-03-07T08:19:28.040750,0.346,0.289,0.318,0.002,-6.1,19.8,0.0,0
2026-03-07T08:19:28.199620,0.382,0.298,0.340,0.176,1.0,27.4,0.0,0
2026-03-07T08:19:28.322739,0.399,0.305,0.352,0.297,2.5,30.6,0.0,0
2026-03-07T08:19:28.438827,0.400,0.287,0.344,0.298,3.6,32.8,0.0,0
2026-03-07T08:19:28.559675,0.136,0.040,0.088,0.030,-1.8,35.6,0.1,0
2026-03-07T08:19:28.681614,0.827,0.196,0.511,0.160,14.8,77.9,0.0,0
2026-03-07T08:19:28.842118,2.239,0.329,1.284,0.152,-13.3,82.0,0.0,0
2026-03-07T08:19:28.955589,1.805,0.330,1.068,0.144,-8.5,82.3,0.0,0
2026-03-07T08:19:29.073164,2.299,0.334,1.317,0.100,-14.2,82.7,0.0,0
2026-03-07T08:19:29.191292,2.034,0.381,1.207,0.092,-1.5,3.8,0.0,0
2026-03-07T08:19:29.553316,1.309,0.406,0.857,0.312,16.5,60.0,0.0,0
2026-03-07T08:19:29.669277,1.214,0.405,0.810,0.201,17.5,60.6,0.0,0
2026-03-07T08:19:29.798749,0.467,0.195,0.331,0.040,10.1,64.2,0.0,0
2026-03-07T08:19:29.908403,0.339,0.243,0.291,0.031,4.2,38.3,0.0,0
2026-03-07T08:19:30.025908,0.296,0.234,0.265,0.014,-0.1,22.8,0.0,0
2026-03-07T08:19:30.147713,0.290,0.246,0.268,0.023,0.6,11.3,0.0,0
2026-03-07T08:19:30.276301,0.278,0.246,0.262,0.025,0.8,9.7,0.0,0
2026-03-07T08:19:30.394505,0.300,0.262,0.281,0.022,2.9,9.9,0.0,0
2026-03-07T08:19:30.509750,0.301,0.268,0.285,0.010,2.2,10.1,0.0,0
2026-03-07T08:19:30.626228,0.315,0.280,0.297,0.010,1.8,11.5,0.0,0
2026-03-07T08:19:30.749749,0.292,0.252,0.272,0.008,0.8,11.3,0.0,0
2026-03-07T08:19:30.865148,0.321,0.285,0.303,0.008,0.4,12.0,0.0,0
2026-03-07T08:19:30.985680,0.321,0.289,0.305,0.008,-1.3,13.6,0.0,0
2026-03-07T08:19:31.106417,0.335,0.295,0.315,0.005,-1.2,15.4,0.0,0
2026-03-07T08:19:31.225148,0.347,0.297,0.322,0.006,-2.2,16.0,0.0,0
2026-03-07T08:19:31.345051,0.354,0.302,0.328,0.005,-3.8,16.4,0.0,0
2026-03-07T08:19:31.462982,0.373,0.320,0.347,0.004,-4.1,15.8,0.0,0
2026-03-07T08:19:31.585939,0.371,0.331,0.351,0.004,-4.7,15.3,0.0,0
2026-03-07T08:19:31.750079,0.351,0.303,0.327,0.007,-4.9,15.6,0.0,0
2026-03-07T08:19:31.860253,0.364,0.312,0.338,0.005,-5.1,15.7,0.0,0
2026-03-07T08:19:31.986696,0.354,0.305,0.330,0.008,-5.9,14.3,0.0,0
2026-03-07T08:19:32.104470,0.374,0.327,0.350,0.005,-6.2,12.1,0.0,0
2026-03-07T08:19:32.257208,0.327,0.286,0.306,0.006,-3.2,11.5,0.0,0
2026-03-07T08:19:32.368560,0.335,0.297,0.316,0.011,-6.1,8.2,0.0,0
2026-03-07T08:19:32.494757,0.310,0.313,0.311,0.013,-20.2,-2.7,0.0,0
2026-03-07T08:19:32.654427,0.163,0.221,0.192,0.023,-18.8,-8.6,0.0,0
2026-03-07T08:19:32.768797,0.275,0.295,0.285,0.009,-18.4,-12.6,0.1,0
2026-03-07T08:19:32.890543,0.366,0.377,0.371,0.016,-22.7,-11.2,0.1,0
2026-03-07T08:19:33.044406,0.372,0.385,0.378,0.026,-20.8,-10.1,0.0,0
2026-03-07T08:19:33.200782,0.330,0.342,0.336,0.033,-13.8,-10.4,0.0,0
2026-03-07T08:19:33.326638,0.344,0.356,0.350,0.029,-12.5,-11.8,0.0,0
2026-03-07T08:19:33.446492,0.357,0.393,0.375,0.015,-13.3,-12.5,0.0,0
2026-03-07T08:19:33.563699,0.334,0.330,0.332,0.112,-7.6,-6.0,0.0,0
2026-03-07T08:19:33.683571,0.299,0.292,0.296,0.541,-1.3,-6.0,0.0,0
